num  coinc  date  time  sec  RecTime  TOP  BOTTOM  EXT  COINC  Pressure  Temp  Humidity
1 A-C 25/1/2020 11:31:14 0 600 0 0 0 0 915.93 16.47 31.70
2 A-C 25/1/2020 11:41:22 600 600 5293 4839 0 961 915.93 16.47 31.70
3 A-C 25/1/2020 11:51:21 1200 600 5233 4882 0 1148 876.56 19.32 28.42
4 A-C 25/1/2020 12:1:22 1800 600 6533 6255 0 1592 876.56 19.32 28.42
5 A-C 25/1/2020 12:11:22 2400 600 9412 8989 0 2351 692.25 21.05 23.58
6 A-C 25/1/2020 12:21:22 3001 600 11281 10676 0 2949 692.25 21.05 23.58
7 A-C 25/1/2020 12:31:23 3601 600 12136 11673 0 3101 630.31 22.83 22.38
8 A-C 25/1/2020 12:41:23 4201 600 11320 10867 0 2829 639.03 23.63 20.79
9 A-C 25/1/2020 12:51:23 4801 600 9319 9126 0 1683 639.03 23.63 20.79
10 A-C 25/1/2020 13:1:23 5401 600 9305 9042 0 1600 644.99 24.11 19.77
11 A-C 25/1/2020 13:11:23 6001 600 9092 8910 0 1401 644.99 24.11 19.77
12 A-C 25/1/2020 13:21:23 6601 600 9052 8810 0 1435 649.27 25.76 17.66
13 A-C 25/1/2020 13:31:23 7201 600 9386 9044 0 1475 644.95 26.31 16.30
14 A-C 25/1/2020 13:41:23 7801 600 9068 9062 0 1555 644.95 26.31 16.30
15 A-C 25/1/2020 13:51:23 8401 600 7196 7115 0 1222 683.64 25.71 16.98
16 A-C 25/1/2020 14:1:24 9001 600 4580 4570 0 606 683.64 25.71 16.98
17 A-C 25/1/2020 14:11:23 9601 600 5265 4999 0 478 928.70 25.55 19.62
18 A-C 25/1/2020 14:21:23 10201 600 4258 4057 0 99 928.90 26.01 20.76
